Date;Google trends;Cours;Nombre utilisateurs;Volume transaction;Recherches Youtube;Revenus des mineurs;News du bitcoin;USA unemployment;Gold price
16/09/2013;9;11.66784452;25.12441157;13.45501541;10.28571429;10.47592014;3;7.2;1314.75
17/09/2013;9;11.5909894;29.3289461;14.78926759;10.57142857;11.25453311;3;7.2;1317.25
18/09/2013;9;11.47659011;31.48141032;17.27539909;10.85714286;10.13892631;3;7.2;1299.75
19/09/2013;9;11.36219081;31.89451436;23.58277301;11.14285714;12.09147476;3;7.2;1363.5
20/09/2013;9;11.32862191;31.3699683;16.03270904;11.42857143;11.77451749;3;7.2;1355.25
21/09/2013;9;11.35600707;28.22461332;11.86979931;11.71428571;11.34520707;3;7.2;1355.25
22/09/2013;9;11.31272085;25.9357287;12.74420142;12;12.42112728;3;7.2;1355.25
23/09/2013;9;11.15812721;29.79969257;17.30298581;12.42857143;13.36853557;3;7.2;1321.75
24/09/2013;9;11.32332155;31.62887885;23.07537076;12.85714286;12.11204089;3;7.2;1316.5
25/09/2013;9;11.37367491;31.96224421;19.26228628;13.28571429;13.05536894;3;7.2;1320.25
26/09/2013;9;11.61219081;30.33768854;17.14959511;13.71428571;10.41411994;3;7.2;1332.5
27/09/2013;9;11.77738516;31.9406283;17.55888743;14.14285714;11.00060852;3;7.2;1321.5
28/09/2013;9;12.24116608;29.02968585;14.54109454;14.57142857;10.63447732;3;7.2;1321.5
29/09/2013;10.14285714;11.84540636;26.2210587;15.59540064;15;10.56121474;6;7.2;1321.5
30/09/2013;11.28571429;11.82773852;29.65414545;15.23215773;14.85714286;10.14296864;6;7.2;1335.75
01/10/2013;12.42857143;11.75176678;33.61273898;23.96641077;14.71428571;12.26055381;6;7.2;1332.25
02/10/2013;13.57142857;10.60600707;37.26150447;31.07057904;14.57142857;8.900887296;6;7.2;1293.75
03/10/2013;14.71428571;11.42667845;34.93130944;36.09479524;14.42857143;11.97530908;6;7.2;1309.0
04/10/2013;15.85714286;11.35600707;31.07791334;16.65078016;14.28571429;10.6876885;6;7.2;1316.0
05/10/2013;17;11.35070671;26.76049572;10.6019914;14.14285714;12.58708147;6;7.2;1316.0
06/10/2013;16.28571429;11.31713781;23.43308675;10.15523697;14;12.04987116;4;7.2;1316.0
07/10/2013;15.57142857;11.12279152;28.17369584;19.23276743;14.42857143;9.31586803;4;7.2;1311.0
08/10/2013;14.85714286;11.57155477;29.04938034;14.24332981;14.85714286;9.476737356;4;7.2;1321.0
09/10/2013;14.14285714;11.47526502;33.2082813;19.23223072;15.28571429;11.33337476;4;7.2;1309.5
10/10/2013;13.42857143;11.51766784;31.32673648;16.96690024;15.71428571;12.11590383;4;7.2;1298.0
11/10/2013;12.71428571;11.93639576;32.65155154;16.94231909;16.14285714;11.03733302;4;7.2;1285.75
